ID,Pasta,faultyVersion,correctVersion,faultLocation,Dificuldade,Dir,Date,Difficulty
45004566,abc271_c,"from collections import deque

N = int(input())
A = [int(x) for x in input().split()]

A.sort()

deq = deque()
se = set()

non_need = deque()
for a in A:
    if a not in se:
        se.add(a)
        deq.append(a)
    else:
        non_need.append(a)

deq = deq + non_need

for i in range(N):
    ni = i + 1
    if deq and deq[0] == ni:
        deq.popleft()
    elif len(deq) >= 2:
        deq.pop()
        deq.pop()
    else:
        print(i)
        break
","from collections import deque

N = int(input())
A = [int(x) for x in input().split()]

A.sort()

deq = deque()
se = set()

non_need = deque()
for a in A:
    if a not in se:
        se.add(a)
        deq.append(a)
    else:
        non_need.append(a)

deq = deq + non_need

for i in range(N):
    ni = i + 1
    if deq and deq[0] == ni:
        deq.popleft()
    elif len(deq) >= 2:
        deq.pop()
        deq.pop()
    else:
        print(i)
        break

    if ni == N:
        print(ni)
",31,c,abc271_c/45004566,2022-10-01,842
45528883,abc272_e,"n, m = map(int, input().split())
a = list(map(int, input().split()))
d = [set() for _ in range(m)]

for i in range(n):
  delta = -(i+1)//a[i] - 2
  for j in range(max(0, delta), m):
    tmp = (i+1)*(j+1)+a[i]
    if tmp > n+1:
      break
    if 0 <= tmp:
      d[j].add(tmp)

ans = [0]*m
for i in range(m):
  for j in range(len(d[i])+2):
    if j not in d[i]:
      ans[i] = j
      break


print(*ans, sep='\n')
","n, m = map(int, input().split())
a = list(map(int, input().split()))
d = [set() for _ in range(m)]

for i in range(n):
  delta = -a[i]//(i+1) - 1
  for j in range(max(0, delta), m):
    tmp = (i+1)*(j+1)+a[i]
    if tmp > n+1:
      break
    if 0 <= tmp:
      d[j].add(tmp)

ans = [0]*m
for i in range(m):
  for j in range(len(d[i])+2):
    if j not in d[i]:
      ans[i] = j
      break


print(*ans, sep='\n')
",6,e,abc272_e/45528883,2022-10-08,1434
45044587,abc257_c,"""""""
毎回hatのビット列を生成して確かめるっていうのがだめ
境目を動かしていって、境目付近を見ればいい
""""""

n = int(input())
s = list(input())
w = list(map(int, input().split()))

people = []
# 正解数
# 最初、0番目の人より左にあって、全て1と予測するので1の数をカウントしておく
cnt = 0
for i in range(n):
    people.append((w[i], s[i]))
    if s[i] == '1':
        cnt += 1
people.sort()

ans = cnt
for i in range(n):  # 左から仕切りをごかす
    w, s = people[i]

    # 0の人を飛び越えたら1足す
    if s == '0':
        cnt += 1
    # 1の人を飛び越えたら1減らす
    if s == '1':
        cnt -= 1

    # 隣の人と体重が同じならそれは境界とはいえない
    # ansの更新を行わない(cntの計算だけしておいてスキップ)
    if i+1 >= n or w != people[i+1]:
        ans = max(ans, cnt)

print(ans)
","""""""
毎回hatのビット列を生成して確かめるっていうのがだめ
境目を動かしていって、境目付近を見ればいい
""""""

n = int(input())
s = list(input())
w = list(map(int, input().split()))

people = []
# 正解数
# 最初、0番目の人より左にあって、全て1と予測するので1の数をカウントしておく
cnt = 0
for i in range(n):
    people.append((w[i], s[i]))
    if s[i] == '1':
        cnt += 1
people.sort()

ans = cnt
for i in range(n):  # 左から仕切りをごかす
    w, s = people[i]

    # 0の人を飛び越えたら1足す
    if s == '0':
        cnt += 1
    # 1の人を飛び越えたら1減らす
    if s == '1':
        cnt -= 1

    # 隣の人と体重が同じならそれは境界とはいえない
    # ansの更新を行わない(cntの計算だけしておいてスキップ)
    if i+1 >= n or w != people[i+1][0]:
        ans = max(ans, cnt)

print(ans)
",33,c,abc257_c/45044587,2022-06-25,678
44815699,abc229_b,"import sys

a, b = input().split()

n = min(len(a), len(b))

for i in range(1, n):
    if int(a[-i])+int(b[-i]) > 9:
        print(""Hard"")
        sys.exit()
print(""Easy"")
    ","import sys

a, b = input().split()

n = min(len(a), len(b))

for i in range(1, n+1):
    if int(a[-i])+int(b[-i]) > 9:
        print(""Hard"")
        sys.exit()
print(""Easy"")
    ",7,b,abc229_b/44815699,2021-11-27,42
54926937,abc355_c,"N,T = map(int, input().split())
A = list(map(int, input().split()))

horizontal = [[] for _ in range(N)]
vertical = [[] for _ in range(N)]
diagonal = [[],[]]

ans = -1
for i,a in enumerate(A):
    row = (a-1) // N
    col = (a-1) % N
    horizontal[row].append(a)
    vertical[col].append(a)
    if row == col: diagonal[0].append(a)
    if row+col == N-1: diagonal[1].append(a)
    if (len(horizontal[row]) == N) or (len(vertical[col-1]) == N) or (len(diagonal[0])) == N or (len(diagonal[1])) == N:
        ans = i+1
        break
print(ans)","N,T = map(int, input().split())
A = list(map(int, input().split()))

horizontal = [[] for _ in range(N)]
vertical = [[] for _ in range(N)]
diagonal = [[],[]]

ans = -1
for i,a in enumerate(A):
    row = (a-1) // N
    col = (a-1) % N
    horizontal[row].append(a)
    vertical[col].append(a)
    if row == col: diagonal[0].append(a)
    if row+col == N-1: diagonal[1].append(a)
    if (len(horizontal[row]) == N) or (len(vertical[col]) == N) or (len(diagonal[0])) == N or (len(diagonal[1])) == N:
        ans = i+1
        break
print(ans)",16,c,abc355_c/54926937,2024-05-25,325
54238360,abc323_b,"N = int(input())
S = [""""] * N
for i in range(N):
    S[i] = input()

C = 0
A = [0] * N

for i in range(N):
    for j in range(N):
        if S[i][j] == ""o"":
            C += 1
    A[i] = [C, i+1]
    C = 0

print(A)

Y = 0

for i in range(N):
    Y = max(Y, A[i][0])

for i in range(N):
    A[i][0] = Y - A[i][0]

A.sort(key=lambda d:(d[0], d[1]))

D = [0]*N

for k in range(N):
    D[k] = A[k][1]

print(A)

print(*D)


","N = int(input())
S = [""""] * N
for i in range(N):
    S[i] = input()

C = 0
A = [0] * N

for i in range(N):
    for j in range(N):
        if S[i][j] == ""o"":
            C += 1
    A[i] = [C, i+1]
    C = 0


Y = 0

for i in range(N):
    Y = max(Y, A[i][0])

for i in range(N):
    A[i][0] = Y - A[i][0]

A.sort(key=lambda d:(d[0], d[1]))

D = [0]*N

for k in range(N):
    D[k] = A[k][1]


print(*D)


",0,b,abc323_b/54238360,2023-10-07,75
53564647,arc171_a,"for _ in range(int(input())):
	N, A, B = map(int, input().split())
	if A <= N // 2:
		print(""Yes"" if B <= ((N + 1) // 2) * (N - A) else ""No"")
	elif A < N:
		print(""Yes"" if B <= (N - A) ** 2 else ""No"")
	else:
		print(""No"")","for _ in range(int(input())):
	N, A, B = map(int, input().split())
	if A <= N // 2:
		print(""Yes"" if B <= ((N + 1) // 2) * (N - A) else ""No"")
	elif A <= N:
		print(""Yes"" if B <= (N - A) ** 2 else ""No"")
	else:
		print(""No"")",5,a,arc171_a/53564647,2024-02-04,614
45039073,abc246_d,"n = int(input())

def f(a, b):
    return a*a*a + a*a*b + a*b*b + b*b*b

ni = 10**6
ans = float('inf')
for a in range(1, ni+1):
    l = -1
    r = 10**6+1
    while r - l > 1:
        b = (r+l) // 2
        if f(a, b) < n:
            l = b
        else:
            r = b
    ans = min(ans, f(a, r))
print(ans)","n = int(input())

def f(a, b):
    return a*a*a + a*a*b + a*b*b + b*b*b

ni = 10**6
ans = float('inf')
for a in range(ni+1):
    l = -1
    r = 10**6+1
    while r - l > 1:
        b = (r+l) // 2
        if f(a, b) < n:
            l = b
        else:
            r = b
    ans = min(ans, f(a, r))
print(ans)",8,d,abc246_d/45039073,2022-04-02,1148
53797654,abc347_e,"# INF = 1<<60 # 1152921504606846976 ~ 10^18

# def meguru_bisect(ng, ok):
#     while ok - ng > 1:
#         mid = (ng + ok) // 2
#         if is_ok(mid):  # 小さくできる
#             ok = mid
#         else:
#             ng = mid  # 大きくしないといけない
#     return ok

import sys


def input():
    return sys.stdin.readline()[:-1]


# sys.setrecursionlimit(10**6)

N, Q = map(int, input().split())
A = list(map(int, input().split()))

types = []
from collections import defaultdict
d = defaultdict(int)
for a in A:
    if d[a]%2==0:
        types.append(0)
    else:
        types.append(1)
    d[a] += 1

cumsum = [0]*(Q+1)
l = 0
for i, t in enumerate(types):
    if t==0:
        l += 1
    else:
        l -= 1
    if i < Q+2:
        cumsum[i+1] = cumsum[i] + l

ans = [0]*(N+1)
pre = [-1]*(N+1)
for i, a in enumerate(A):
    if pre[a] == -1:
        pre[a] = i+1
    else:
        ans[a] += cumsum[i] - cumsum[pre[a]-1]
        pre[a] = -1

for i, x in enumerate(pre):
    if x != -1:
        ans[i] += cumsum[-1] - cumsum[pre[i]-1]
print(f""{ans[1:]}"")
","# INF = 1<<60 # 1152921504606846976 ~ 10^18

# def meguru_bisect(ng, ok):
#     while ok - ng > 1:
#         mid = (ng + ok) // 2
#         if is_ok(mid):  # 小さくできる
#             ok = mid
#         else:
#             ng = mid  # 大きくしないといけない
#     return ok

import sys


def input():
    return sys.stdin.readline()[:-1]


# sys.setrecursionlimit(10**6)

N, Q = map(int, input().split())
A = list(map(int, input().split()))

types = []
from collections import defaultdict
d = defaultdict(int)
for a in A:
    if d[a]%2==0:
        types.append(0)
    else:
        types.append(1)
    d[a] += 1

cumsum = [0]*(Q+1)
l = 0
for i, t in enumerate(types):
    if t==0:
        l += 1
    else:
        l -= 1
    if i < Q+2:
        cumsum[i+1] = cumsum[i] + l

ans = [0]*(N+1)
pre = [-1]*(N+1)
for i, a in enumerate(A):
    if pre[a] == -1:
        pre[a] = i+1
    else:
        ans[a] += cumsum[i] - cumsum[pre[a]-1]
        pre[a] = -1

for i, x in enumerate(pre):
    if x != -1:
        ans[i] += cumsum[-1] - cumsum[pre[i]-1]
print(*ans[1:])
",56,e,abc347_e/53797654,2024-03-30,1166
33208299,arc134_d,"import sys
input = lambda: sys.stdin.readline().rstrip()
ii = lambda: int(input())
mi = lambda: map(int, input().split())
li = lambda: list(mi())
INF = 2 ** 63 - 1
mod = 998244353

n = ii()

a = li()

a1 = a[:n]
a2 = a[n:]

p = min(a1)
t =[]
ind = -1
for i in range(n):
    if a1[i] == p:
        t.append((a1[i], a2[i]))
        ind = i
if sorted(t)[0][1] <= p:
    print(*sorted(t)[0])
else:
    ans1 = []
    ans2 = []
    for v1, v2 in t:
        ans1.append(v1)
        ans2.append(v2)
    p = []
    for i in range(ind + 1, n):
        if a1[i] < ans2[0]:
            p.append((a1[i], i))
    p.sort()
    nowi = ind

    for v, i in p:
        if nowi < i:
            ans1.append(a1[i])
            ans2.append(a2[i])
    
    ans = ans1 + ans2
    ans1 = []
    ans2 = []
    for v1, v2 in t:
        ans1.append(v1)
        ans2.append(v2)
    p = []
    for i in range(ind + 1, n):
        if a1[i] <= ans2[0]:
            p.append((a1[i], i))
    p.sort()
    nowi = ind

    for v, i in p:
        if nowi < i:
            ans1.append(a1[i])
            ans2.append(a2[i])
    
    ans = min(ans, ans1 + ans2)
    print(*ans)
","import sys
input = lambda: sys.stdin.readline().rstrip()
ii = lambda: int(input())
mi = lambda: map(int, input().split())
li = lambda: list(mi())
INF = 2 ** 63 - 1
mod = 998244353

n = ii()

a = li()

a1 = a[:n]
a2 = a[n:]

p = min(a1)
t =[]
ind = -1
for i in range(n):
    if a1[i] == p:
        t.append((a1[i], a2[i]))
        ind = i
if sorted(t)[0][1] <= p:
    print(*sorted(t)[0])
else:
    ans1 = []
    ans2 = []
    for v1, v2 in t:
        ans1.append(v1)
        ans2.append(v2)
    p = []
    for i in range(ind + 1, n):
        if a1[i] < ans2[0]:
            p.append((a1[i], i))
    p.sort()
    nowi = ind

    for v, i in p:
        if nowi < i:
            ans1.append(a1[i])
            ans2.append(a2[i])
            nowi = i
    
    ans = ans1 + ans2
    ans1 = []
    ans2 = []
    for v1, v2 in t:
        ans1.append(v1)
        ans2.append(v2)
    p = []
    for i in range(ind + 1, n):
        if a1[i] <= ans2[0]:
            p.append((a1[i], i))
    p.sort()
    nowi = ind

    for v, i in p:
        if nowi < i:
            ans1.append(a1[i])
            ans2.append(a2[i])
            nowi = i
    
    ans = min(ans, ans1 + ans2)
    print(*ans)
",42,d,arc134_d/33208299,2022-01-29,1998
